[2026-02-10 18:08:19] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/usage"
[2026-02-10 18:08:19] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/oauth-model-alias"
[2026-02-10 18:08:19] [--------] [info ] [gin_logger.go:93] 200 |         148ms |             ::1 | GET     "/v0/management/oauth-excluded-models"
[2026-02-10 18:08:19] [--------] [info ] [gin_logger.go:93] 200 |         150ms |             ::1 | GET     "/v0/management/oauth-model-alias"
[2026-02-10 18:08:19] [--------] [info ] [gin_logger.go:93] 200 |         151ms |             ::1 | GET     "/v0/management/usage"
[2026-02-10 18:08:19] [--------] [info ] [gin_logger.go:93] 200 |         154ms |             ::1 | GET     "/v0/management/auth-files"
[2026-02-10 18:08:19] [--------] [info ] [gin_logger.go:93] 200 |         119ms |             ::1 | GET     "/v0/management/oauth-excluded-models"
[2026-02-10 18:08:19] [--------] [info ] [gin_logger.go:93] 200 |         122ms |             ::1 | GET     "/v0/management/oauth-model-alias"
[2026-02-10 18:08:19] [--------] [info ] [gin_logger.go:93] 200 |         122ms |             ::1 | GET     "/v0/management/auth-files"
[2026-02-10 18:08:22] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/oauth-excluded-models"
[2026-02-10 18:08:22] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/usage"
[2026-02-10 18:08:22] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/oauth-model-alias"
[2026-02-10 18:08:22] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/auth-files"
[2026-02-10 18:08:22] [--------] [info ] [gin_logger.go:93] 200 |         111ms |             ::1 | GET     "/v0/management/oauth-model-alias"
[2026-02-10 18:08:22] [--------] [info ] [gin_logger.go:93] 200 |         113ms |             ::1 | GET     "/v0/management/auth-files"
[2026-02-10 18:08:22] [--------] [info ] [gin_logger.go:93] 200 |         115ms |             ::1 | GET     "/v0/management/oauth-excluded-models"
[2026-02-10 18:08:22] [--------] [info ] [gin_logger.go:93] 200 |         119ms |             ::1 | GET     "/v0/management/usage"
[2026-02-10 18:08:24] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/vertex-api-key"
[2026-02-10 18:08:24] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/ampcode"
[2026-02-10 18:08:24] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/usage"
[2026-02-10 18:08:24] [--------] [info ] [gin_logger.go:93] 200 |         100ms |             ::1 | GET     "/v0/management/usage"
[2026-02-10 18:08:24] [--------] [info ] [gin_logger.go:93] 200 |         102ms |             ::1 | GET     "/v0/management/vertex-api-key"
[2026-02-10 18:08:24] [--------] [info ] [gin_logger.go:93] 200 |         107ms |             ::1 | GET     "/v0/management/ampcode"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/api-keys"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/model-definitions/claude"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/api-keys"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/api-key-policies"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/api-key-policies"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/model-definitions/claude"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 200 |         114ms |             ::1 | GET     "/v0/management/api-keys"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 200 |         120ms |             ::1 | GET     "/v0/management/api-key-policies"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 200 |         165ms |             ::1 | GET     "/v0/management/model-definitions/claude"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 200 |         175ms |             ::1 | GET     "/v0/management/api-keys"
[2026-02-10 18:08:25] [--------] [info ] [gin_logger.go:93] 200 |         230ms |             ::1 | GET     "/v0/management/api-key-policies"
[2026-02-10 18:08:26] [--------] [info ] [gin_logger.go:93] 200 |         237ms |             ::1 | GET     "/v0/management/model-definitions/claude"
[2026-02-10 18:09:06] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/auth-files"
[2026-02-10 18:09:06] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/config.yaml"
[2026-02-10 18:09:06] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/auth-files"
[2026-02-10 18:09:06] [--------] [info ] [gin_logger.go:93] 204 |            0s |             ::1 | OPTIONS "/v0/management/config.yaml"
[2026-02-10 18:09:06] [--------] [info ] [gin_logger.go:93] 200 |          88ms |             ::1 | GET     "/v0/management/config.yaml"
